 : ածականներ -ագույն ածանցով
վատ ամենավատ խոշոր ամենախոշոր
վատ ամենավատ քնքուշ ամենաքնքուշ
վատ ամենավատ գեղեցիկ ամենագեղեցիկ
խոր ամենախոր բարձր ամենաբարձր
խոր ամենախոր ցածր ամենացածր
խոր ամենախոր ծանր ամենածանր
խոր ամենախոր ուժեղ ամենաուժեղ
խոր ամենախոր պարզ ամենապարզ
խոր ամենախոր բարդ ամենաբարդ
խոր ամենախոր փոքր ամենափոքր
խոր ամենախոր մեծ ամենամեծ
խոր ամենախոր լավ ամենալավ
խոր ամենախոր վատ ամենավատ
խոր ամենախոր նվազ ամենանվազ
խոր ամենախոր հին ամենահին
խոր ամենախոր նոր ամենանոր
խոր ամենախոր պայծառ ամենապայծառ
խոր ամենախոր ազնիվ ամենաազնիվ
խոր ամենախոր քաջ ամենաքաջ
խոր ամենախոր գեր ամենագեր
խոր ամենախոր խոշոր ամենախոշոր
խոր ամենախոր քնքուշ ամենաքնքուշ
խոր ամենախոր գեղեցիկ ամենագեղեցիկ
նվազ ամենանվազ բարձր ամենաբարձր
նվազ ամենանվազ ցածր ամենացածր
նվազ ամենանվազ ծանր ամենածանր
նվազ ամենանվազ ուժեղ ամենաուժեղ
նվազ ամենանվազ պարզ ամենապարզ
նվազ ամենանվազ բարդ ամենաբարդ
նվազ ամենանվազ փոքր ամենափոքր
նվազ ամենանվազ մեծ ամենամեծ
նվազ ամենանվազ լավ ամենալավ
նվազ ամենանվազ վատ ամենավատ
նվազ ամենանվազ խոր ամենախոր
նվազ ամենանվազ հին ամենահին
նվազ ամենանվազ նոր ամենանոր
նվազ ամենանվազ պայծառ ամենապայծառ
նվազ ամենանվազ ազնիվ ամենաազնիվ
նվազ ամենանվազ քաջ ամենաքաջ
նվազ ամենանվազ գեր ամենագեր
նվազ ամենանվազ խոշոր ամենախոշոր
նվազ ամենանվազ քնքուշ ամենաքնքուշ
նվազ ամենանվազ գեղեցիկ ամենագեղեցիկ
հին ամենահին բարձր ամենաբարձր
հին ամենահին ցածր ամենացածր
հին ամենահին ծանր ամենածանր
հին ամենահին ուժեղ ամենաուժեղ
հին ամենահին պարզ ամենապարզ
հին ամենահին բարդ ամենաբարդ
հին ամենահին փոքր ամենափոքր
հին ամենահին մեծ ամենամեծ
հին ամենահին լավ ամենալավ
հին ամենահին վատ ամենավատ
հին ամենահին խոր ամենախոր
հին ամենահին նվազ ամենանվազ
հին ամենահին նոր ամենանոր
հին ամենահին պայծառ ամենապայծառ
հին ամենահին ազնիվ ամենաազնիվ
հին ամենահին քաջ ամենաքաջ
հին ամենահին գեր ամենագեր
հին ամենահին խոշոր ամենախոշոր
հին ամենահին քնքուշ ամենաքնքուշ
հին ամենահին գեղեցիկ ամենագեղեցիկ
նոր ամենանոր բարձր ամենաբարձր
նոր ամենանոր ցածր ամենացածր
նոր ամենանոր ծանր ամենածանր
նոր ամենանոր ուժեղ ամենաուժեղ
նոր ամենանոր պարզ ամենապարզ
նոր ամենանոր բարդ ամենաբարդ
նոր ամենանոր փոքր ամենափոքր
նոր ամենանոր մեծ ամենամեծ
նոր ամենանոր լավ ամենալավ
նոր ամենանոր վատ ամենավատ
նոր ամենանոր խոր ամենախոր
նոր ամենանոր նվազ ամենանվազ
նոր ամենանոր հին ամենահին
նոր ամենանոր պայծառ ամենապայծառ
նոր ամենանոր ազնիվ ամենաազնիվ
նոր ամենանոր քաջ ամենաքաջ
նոր ամենանոր գեր ամենագեր
նոր ամենանոր խոշոր ամենախոշոր
նոր ամենանոր քնքուշ ամենաքնքուշ
նոր ամենանոր գեղեցիկ ամենագեղեցիկ
պայծառ ամենապայծառ բարձր ամենաբարձր
պայծառ ամենապայծառ ցածր ամենացածր
պայծառ ամենապայծառ ծանր ամենածանր
պայծառ ամենապայծառ ուժեղ ամենաուժեղ
պայծառ ամենապայծառ պարզ ամենապարզ
պայծառ ամենապայծառ բարդ ամենաբարդ
պայծառ ամենապայծառ փոքր ամենափոքր
պայծառ ամենապայծառ մեծ ամենամեծ
պայծառ ամենապայծառ լավ ամենալավ
պայծառ ամենապայծառ վատ ամենավատ
պայծառ ամենապայծառ խոր ամենախոր
պայծառ ամենապայծառ նվազ ամենանվազ
պայծառ ամենապայծառ հին ամենահին
պայծառ ամենապայծառ նոր ամենանոր
պայծառ ամենապայծառ ազնիվ ամենաազնիվ
պայծառ ամենապայծառ քաջ ամենաքաջ
պայծառ ամենապայծառ գեր ամենագեր
պայծառ ամենապայծառ խոշոր ամենախոշոր
պայծառ ամենապայծառ քնքուշ ամենաքնքուշ
պայծառ ամենապայծառ գեղեցիկ ամենագեղեցիկ
ազնիվ ամենաազնիվ բարձր ամենաբարձր
ազնիվ ամենաազնիվ ցածր ամենացածր
ազնիվ ամենաազնիվ ծանր ամենածանր
ազնիվ ամենաազնիվ ուժեղ ամենաուժեղ
ազնիվ ամենաազնիվ պարզ ամենապարզ
ազնիվ ամենաազնիվ բարդ ամենաբարդ
ազնիվ ամենաազնիվ փոքր ամենափոքր
ազնիվ ամենաազնիվ մեծ ամենամեծ
ազնիվ ամենաազնիվ լավ ամենալավ
ազնիվ ամենաազնիվ վատ ամենավատ
ազնիվ ամենաազնիվ խոր ամենախոր
ազնիվ ամենաազնիվ նվազ ամենանվազ
ազնիվ ամենաազնիվ հին ամենահին
ազնիվ ամենաազնիվ նոր ամենանոր
ազնիվ ամենաազնիվ պայծառ ամենապայծառ
ազնիվ ամենաազնիվ քաջ ամենաքաջ
ազնիվ ամենաազնիվ գեր ամենագեր
ազնիվ ամենաազնիվ խոշոր ամենախոշոր
ազնիվ ամենաազնիվ քնքուշ ամենաքնքուշ
ազնիվ ամենաազնիվ գեղեցիկ ամենագեղեցիկ
քաջ ամենաքաջ բարձր ամենաբարձր
քաջ ամենաքաջ ցածր ամենացածր
քաջ ամենաքաջ ծանր ամենածանր
քաջ ամենաքաջ ուժեղ ամենաուժեղ
քաջ ամենաքաջ պարզ ամենապարզ
քաջ ամենաքաջ բարդ ամենաբարդ
քաջ ամենաքաջ փոքր ամենափոքր
քաջ ամենաքաջ մեծ ամենամեծ
քաջ ամենաքաջ լավ ամենալավ
քաջ ամենաքաջ վատ ամենավատ
քաջ ամենաքաջ խոր ամենախոր
քաջ ամենաքաջ նվազ ամենանվազ
քաջ ամենաքաջ հին ամենահին
քաջ ամենաքաջ նոր ամենանոր
քաջ ամենաքաջ պայծառ ամենապայծառ
քաջ ամենաքաջ ազնիվ ամենաազնիվ
քաջ ամենաքաջ գեր ամենագեր
քաջ ամենաքաջ խոշոր ամենախոշոր
քաջ ամենաքաջ քնքուշ ամենաքնքուշ
քաջ ամենաքաջ գեղեցիկ ամենագեղեցիկ
գեր ամենագեր բարձր ամենաբարձր
գեր ամենագեր ցածր ամենացածր
գեր ամենագեր ծանր ամենածանր
գեր ամենագեր ուժեղ ամենաուժեղ
գեր ամենագեր պարզ ամենապարզ
գեր ամենագեր բարդ ամենաբարդ
գեր ամենագեր փոքր ամենափոքր
գեր ամենագեր մեծ ամենամեծ
գեր ամենագեր լավ ամենալավ
գեր ամենագեր վատ ամենավատ
գեր ամենագեր խոր ամենախոր
գեր ամենագեր նվազ ամենանվազ
գեր ամենագեր հին ամենահին
գեր ամենագեր նոր ամենանոր
գեր ամենագեր պայծառ ամենապայծառ
գեր ամենագեր ազնիվ ամենաազնիվ
գեր ամենագեր քաջ ամենաքաջ
գեր ամենագեր խոշոր ամենախոշոր
գեր ամենագեր քնքուշ ամենաքնքուշ
գեր ամենագեր գեղեցիկ ամենագեղեցիկ
խոշոր ամենախոշոր բարձր ամենաբարձր
խոշոր ամենախոշոր ցածր ամենացածր
խոշոր ամենախոշոր ծանր ամենածանր
խոշոր ամենախոշոր ուժեղ ամենաուժեղ
խոշոր ամենախոշոր պարզ ամենապարզ
խոշոր ամենախոշոր բարդ ամենաբարդ
խոշոր ամենախոշոր փոքր ամենափոքր
խոշոր ամենախոշոր մեծ ամենամեծ
խոշոր ամենախոշոր լավ ամենալավ
խոշոր ամենախոշոր վատ ամենավատ
խոշոր ամենախոշոր խոր ամենախոր
խոշոր ամենախոշոր նվազ ամենանվազ
խոշոր ամենախոշոր հին ամենահին
խոշոր ամենախոշոր նոր ամենանոր
խոշոր ամենախոշոր պայծառ ամենապայծառ
խոշոր ամենախոշոր ազնիվ ամենաազնիվ
խոշոր ամենախոշոր քաջ ամենաքաջ
խոշոր ամենախոշոր գեր ամենագեր
խոշոր ամենախոշոր քնքուշ ամենաքնքուշ
խոշոր ամենախոշոր գեղեցիկ ամենագեղեցիկ
քնքուշ ամենաքնքուշ բարձր ամենաբարձր
քնքուշ ամենաքնքուշ ցածր ամենացածր
քնքուշ ամենաքնքուշ ծանր ամենածանր
քնքուշ ամենաքնքուշ ուժեղ ամենաուժեղ
քնքուշ ամենաքնքուշ պարզ ամենապարզ
քնքուշ ամենաքնքուշ բարդ ամենաբարդ
քնքուշ ամենաքնքուշ փոքր ամենափոքր
քնքուշ ամենաքնքուշ մեծ ամենամեծ
քնքուշ ամենաքնքուշ լավ ամենալավ
քնքուշ ամենաքնքուշ վատ ամենավատ
քնքուշ ամենաքնքուշ խոր ամենախոր
քնքուշ ամենաքնքուշ նվազ ամենանվազ
քնքուշ ամենաքնքուշ հին ամենահին
քնքուշ ամենաքնքուշ նոր ամենանոր
քնքուշ ամենաքնքուշ պայծառ ամենապայծառ
քնքուշ ամենաքնքուշ ազնիվ ամենաազնիվ
քնքուշ ամենաքնքուշ քաջ ամենաքաջ
քնքուշ ամենաքնքուշ գեր ամենագեր
քնքուշ ամենաքնքուշ խոշոր ամենախոշոր
քնքուշ ամենաքնքուշ գեղեցիկ ամենագեղեցիկ
գեղեցիկ ամենագեղեցիկ բարձր ամենաբարձր
գեղեցիկ ամենագեղեցիկ ցածր ամենացածր
գեղեցիկ ամենագեղեցիկ ծանր ամենածանր
գեղեցիկ ամենագեղեցիկ ուժեղ ամենաուժեղ
գեղեցիկ ամենագեղեցիկ պարզ ամենապարզ
գեղեցիկ ամենագեղեցիկ բարդ ամենաբարդ
գեղեցիկ ամենագեղեցիկ փոքր ամենափոքր
գեղեցիկ ամենագեղեցիկ մեծ ամենամեծ
գեղեցիկ ամենագեղեցիկ լավ ամենալավ
գեղեցիկ ամենագեղեցիկ վատ ամենավատ
գեղեցիկ ամենագեղեցիկ խոր ամենախոր
գեղեցիկ ամենագեղեցիկ նվազ ամենանվազ
գեղեցիկ ամենագեղեցիկ հին ամենահին
գեղեցիկ ամենագեղեցիկ նոր ամենանոր
գեղեցիկ ամենագեղեցիկ պայծառ ամենապայծառ
գեղեցիկ ամենագեղեցիկ ազնիվ ամենաազնիվ
գեղեցիկ ամենագեղեցիկ քաջ ամենաքաջ
գեղեցիկ ամենագեղեցիկ գեր ամենագեր
գեղեցիկ ամենագեղեցիկ խոշոր ամենախոշոր
գեղեցիկ ամենագեղեցիկ քնքուշ ամենաքնքուշ
