դրամական միվորներ ըստ երկրի։
լեհաստանը զլոտի ռումինիա լեու 
լեհաստանը զլոտի ռուսաստան ռուբլի 
լեհաստանը զլոտի շվեդիա կռոն 
լեհաստանը զլոտի թաիլանդ բահթ 
լեհաստանը զլոտի ուկրաինա գրիվեն 
լեհաստանը զլոտի ամն դոլար
լեհաստանը զլոտի վիետնամ դոնգ 
լեհաստանը զլոտի ալժիր դինար 
լեհաստանը զլոտի անգոլա կվանզա  
լեհաստանը զլոտի արգենտինա պեսո
լեհաստանը զլոտի հայաստան դրամ
լեհաստանը զլոտի բրազիլիա ռեալ 
լեհաստանը զլոտի բուլղարիա լեվ
լեհաստանը զլոտի կամբոջիա ռիյել
լեհաստանը զլոտի կանադա դոլարը
լեհաստանը զլոտի խորվաթիա կունա 
լեհաստանը զլոտի դանիա կրոնը
լեհաստանը զլոտի եվրոպա եվրո
լեհաստանը զլոտի հունգարիա ֆորինտ
լեհաստանը զլոտի հնդկաստան ռուփի
լեհաստանը զլոտի իրանը ռիալ 
լեհաստանը զլոտի ճապոնիա իեն
լեհաստանը զլոտի կորեա վոն
լեհաստանը զլոտի լատվիա լատս 
լեհաստանը զլոտի լիտվա լիտաս 
լեհաստանը զլոտի մակեդոնիա դենար 
լեհաստանը զլոտի մալայզիա ռինգիթ
լեհաստանը զլոտի մեքսիկա պեսո
լեհաստանը զլոտի նիգերիա նաիռա 
ռումինիա լեու  ռուսաստան ռուբլի
ռումինիա լեու  շվեդիա կռոն 
ռումինիա լեու  թաիլանդ բահթ 
ռումինիա լեու  ուկրաինա գրիվեն 
ռումինիա լեու  ամն դոլար
ռումինիա լեու  վիետնամ դոնգ 
ռումինիա լեու  ալժիր դինար
ռումինիա լեու  անգոլա կվանզա  
ռումինիա լեու  արգենտինա պեսո
ռումինիա լեու  հայաստան դրամ
ռումինիա լեու  բրազիլիա ռեալ 
ռումինիա լեու  բուլղարիա լեվ
ռումինիա լեու  կամբոջիա ռիյել
ռումինիա լեու  կանադա դոլարը
ռումինիա լեու  խորվաթիա կունա 
ռումինիա լեու  դանիա կռոն 
ռումինիա լեու  եվրոպա եվրո
ռումինիա լեու  հունգարիա ֆորինտ 
ռումինիա լեու  հնդկաստան ռուփի 
ռումինիա լեու  իրանը ռիալ 
ռումինիա լեու  ճապոնիա յեն
ռումինիա լեու  կորեա վոն
ռումինիա լեու  լատվիա լատս 
ռումինիա լեու  լիտվա լիտաս 
ռումինիա լեու  մակեդոնիա դենար 
ռումինիա լեու  մալայզիա ռինգիթ
ռումինիա լեու  մեքսիկա պեսո
ռումինիա լեու  նիգերիա նաիռա 
ռումինիա լեու  լեհաստան զլոտի
ռուսաստան ռուբլի  շվեդիա կռոն 
ռուսաստան ռուբլի  թաիլանդ բահթ 
ռուսաստան ռուբլի  ուկրաինա գրիվեն 
ռուսաստան ռուբլի  ամն դոլար
ռուսաստան ռուբլի  վիետնամ դոնգ 
ռուսաստան ռուբլի  ալժիր դինար 
ռուսաստան ռուբլի  անգոլա կվանզա  
ռուսաստան ռուբլի  արգենտինա պեսո
ռուսաստան ռուբլի  հայաստան դրամ
ռուսաստան ռուբլի  բրազիլիա ռեալ 
ռուսաստան ռուբլի  բուլղարիա լեվ
ռուսաստան ռուբլի  կամբոջիա ռիյել
ռուսաստան ռուբլի  կանադա դոլարը
ռուսաստան ռուբլի  խորվաթիա կունա 
ռուսաստան ռուբլի  դանիա կրոնը
ռուսաստան ռուբլի  եվրոպա եվրո
ռուսաստան ռուբլի  հունգարիա ֆորինտ
ռուսաստան ռուբլի  հնդկաստան ռուփի
ռուսաստան ռուբլի  իրանը ռիալ 
ռուսաստան ռուբլի  ճապոնիա իեն
ռուսաստան ռուբլի  կորեան հաղթեց
ռուսաստան ռուբլի  լատվիա լատս 
ռուսաստան ռուբլի լիտվա լիտաս 
ռուսաստան ռուբլի  մակեդոնիա դենար 
ռուսաստան ռուբլի  մալայզիա ռինգիթ
ռուսաստան ռուբլի  մեքսիկա պեսո
ռուսաստան ռուբլի  նիգերիա նաիռա 
ռուսաստան ռուբլի  լեհաստան զլոտի
ռուսաստան ռուբլի  ռումինիա լեու 
շվեդիա կռոն  թաիլանդ բահթ 
շվեդիա կռոն  ուկրաինա գրիվեն 
շվեդիա կռոն  ամն դոլար
շվեդիա կռոն  վիետնամ դոնգ 
շվեդիա կռոն  ալժիր դինար 
շվեդիա կռոն  անգոլա կվանզա  
շվեդիա կռոն  արգենտինա պեսո
շվեդիա կռոն  հայաստան դրամ
շվեդիա կռոն  բրազիլիա ռեալ 
շվեդիա կռոն  բուլղարիա լեվ
շվեդիա կռոն  կամբոջիա ռիյել
շվեդիա կռոն  կանադա դոլարը
շվեդիա կռոն  խորվաթիա կունա 
շվեդիա կռոն  դանիա կրոնը
շվեդիա կռոն  եվրոպա եվրո
շվեդիա կռոն  հունգարիա ֆորինտ
շվեդիա կռոն  հնդկաստան ռուփի
շվեդիա կռոն  իրանը ռիալ 
շվեդիա կռոն  ճապոնիա իեն
շվեդիա կռոն  կորեա վոն
շվեդիա կռոն  լատվիա լատս 
շվեդիա կռոն  լիտվա լիտաս 
շվեդիա կռոն  մակեդոնիա դենար 
շվեդիա կռոն  մալայզիա ռինգիթ
շվեդիա կռոն  մեքսիկա պեսո
շվեդիա կռոն  նիգերիա նաիռա 
շվեդիա կռոն  լեհաստան զլոտի
շվեդիա կռոն  ռումինիա լեու 
շվեդիա կռոն  ռուսաստան ռուբլի 
թաիլանդ բահթ  ուկրաինա գրիվեն 
թաիլանդ բահթ  ամն դոլար
թաիլանդ բահթ  վիետնամ դոնգ 
թաիլանդ բահթ  ալժիր դինար
թաիլանդ բահթ  անգոլա կվանզա  
թաիլանդ բահթ  արգենտինա պեսո
թաիլանդ բահթ  հայաստան դրամ
թաիլանդ բահթ  բրազիլիա ռեալ 
թաիլանդ բահթ  բուլղարիա լեվ
թաիլանդ բահթ  կամբոջիա ռիյել
թաիլանդ բահթ  կանադա դոլարը
թաիլանդ բահթ  խորվաթիա կունա 
թաիլանդ բահթ  դանիա կռոն 
թաիլանդ բահթ  եվրոպա եվրո
թաիլանդ բահթ  հունգարիա ֆորինտ 
թաիլանդ բահթ  հնդկաստան ռուփի 
թաիլանդ բահթ  իրանը ռիալ 
թաիլանդ բահթ  ճապոնիա յեն
թաիլանդ բահթ  կորեա վոն
թաիլանդ բահթ  լատվիա լատս 
թաիլանդ բահթ  լիտվա լիտաս 
թաիլանդ բահթ  մակեդոնիա դենար 
թաիլանդ բահթ  մալայզիա ռինգիթ
թաիլանդ բահթ  մեքսիկա պեսո
թաիլանդ բահթ  նիգերիա նաիռա 
թաիլանդ բահթ  լեհաստան զլոտի
թաիլանդ բահթ  ռումինիա լեու 
թաիլանդ բահթ  ռուսաստան ռուբլի
թաիլանդ բահթ  շվեդիա կռոն 
ուկրաինա գրիվեն  ամն դոլար
ուկրաինա գրիվեն  վիետնամ դոնգ 
ուկրաինա գրիվեն  ալժիր դինար 
ուկրաինա գրիվեն  անգոլա կվանզա  
ուկրաինա գրիվեն  արգենտինա պեսո
ուկրաինա գրիվեն  հայաստան դրամ
ուկրաինա գրիվեն  բրազիլիա ռեալ 
ուկրաինա գրիվեն  բուլղարիա լեվ
ուկրաինա գրիվեն  կամբոջիա ռիյել
ուկրաինա գրիվեն  կանադա դոլարը
ուկրաինա գրիվեն  խորվաթիա կունա 
ուկրաինա գրիվեն  դանիա կրոնը
ուկրաինա գրիվեն  եվրոպա եվրո
ուկրաինա գրիվեն  հունգարիա ֆորինտ
ուկրաինա գրիվեն  հնդկաստան ռուփի
ուկրաինա գրիվեն  իրանը ռիալ 
ուկրաինա գրիվեն  ճապոնիա իեն
ուկրաինա գրիվեն  կորեա վոն
ուկրաինա գրիվեն  լատվիա լատս 
ուկրաինա գրիվեն  լիտվա լիտաս 
ուկրաինա գրիվեն  մակեդոնիա դենար 
ուկրաինա գրիվեն  մալայզիա ռինգիթ
ուկրաինա գրիվեն  մեքսիկա պեսո
ուկրաինա գրիվեն  նիգերիա նաիռա 
ուկրաինա գրիվեն  լեհաստան զլոտի
ուկրաինա գրիվեն  ռումինիա լեու 
ուկրաինա գրիվեն  ռուսաստան ռուբլի 
ուկրաինա գրիվեն  շվեդիա կռոն 
ուկրաինա գրիվեն  թաիլանդ բահթ 
ամն դոլար վիետնամ դոնգ 
ամն դոլար ալժիր դինար 
ամն դոլար անգոլա կվանզա  
ամն դոլար արգենտինա պեսո
ամն դոլար հայաստան դրամ
ամն դոլար բրազիլիա ռեալ 
ամն դոլար բուլղարիա լեվ
ամն դոլար կամբոջիա ռիյել
ամն դոլար խորվաթիա կունա 
ամն դոլար դանիա կրոնը
ամն դոլար եվրոպա եվրո
ամն դոլար հունգարիա ֆորինտ
ամն դոլար հնդկաստան ռուփի
ամն դոլար իրանը ռիալ 
ամն դոլար ճապոնիա իեն
ամն դոլար կորեա վոն
ամն դոլար լատվիա լատս 
ամն դոլար լիտվա լիտաս 
ամն դոլար մակեդոնիա դենար 
ամն դոլար մալայզիա ռինգիթ
ամն դոլար մեքսիկա պեսո
ամն դոլար նիգերիա նաիռա 
ամն դոլար լեհաստան զլոտի
ամն դոլար ռումինիա լեու 
ամն դոլար ռուսաստան ռուբլի 
ամն դոլար շվեդիա կռոն 
ամն դոլար թաիլանդ բահթ 
ամն դոլար ուկրաինա գրիվեն 
վիետնամ դոնգ  ալժիր դինար 
վիետնամ դոնգ  անգոլա կվանզա  
վիետնամ դոնգ  արգենտինա պեսո
վիետնամ դոնգ  հայաստան դրամ
վիետնամ դոնգ  բրազիլիա ռեալ 
վիետնամ դոնգ  բուլղարիա լեվ
վիետնամում դոնգ  կամբոջիա ռիյել
վիետնամ դոնգ  կանադա դոլարը
վիետնամ դոնգ  խորվաթիա կունա 
վիետնամ դոնգ  դանիա կրոնը
վիետնամ դոնգ  եվրոպա եվրո
վիետնամ դոնգ  հունգարիա ֆորինտ
վիետնամ դոնգ  հնդկաստան ռուփի
վիետնամ դոնգ  իրանը ռիալ 
վիետնամ դոնգ  ճապոնիա իեն
վիետնամ դոնգ  կորեա վոն
վիետնամ դոնգ  լատվիա լատս 
վիետնամ դոնգ  լիտվա լիտաս 
վիետնամ դոնգ  մակեդոնիա դենար 
վիետնամ դոնգ  մալայզիա ռինգիթ
վիետնամ դոնգ  մեքսիկա պեսո
վիետնամ դոնգ  նիգերիա նաիռա 
վիետնամ դոնգ  լեհաստան զլոտի
վիետնամ դոնգ  ռումինիա լեու 
վիետնամ դոնգ  ռուսաստան ռուբլի 
վիետնամ դոնգ  շվեդիա կռոն 
վիետնամ դոնգ  թաիլանդ բահթ 
վիետնամ դոնգ  ուկրաինա գրիվեն 
վիետնամ դոնգ  ամն դոլար

